"confidence_threshold","TP","FP","TN","FN","TPR","FPR","recall","precision","F_score1","F_score2","F_score3"
0.45,178,135,30684,676,0.208430913348946,0.0043804146792563,0.208430913348946,0.568690095846645,0.305055698371894,0.516206073012624,0.559121726690303
0.46,177,127,30692,677,0.207259953161593,0.00412083455011519,0.207259953161593,0.582236842105263,0.305699481865285,0.526232948583421,0.571990785179497
0.47,176,124,30695,678,0.206088992974239,0.00402349200168727,0.206088992974239,0.586666666666667,0.305025996533795,0.529182879377432,0.576132754262008
0.48,174,121,30697,681,0.203508771929825,0.00392627685119086,0.203508771929825,0.589830508474576,0.302608695652174,0.530582959641256,0.578949102289573
0.49,173,120,30698,682,0.20233918128655,0.00389382828217276,0.20233918128655,0.590443686006826,0.301393728222996,0.530579108785856,0.579439562261648
0.5,172,115,30703,683,0.201169590643275,0.00373158543708222,0.201169590643275,0.599303135888502,0.30122591943958,0.536809252799706,0.587785484689562
0.51,171,113,30705,684,0.2,0.00366668829904601,0.2,0.602112676056338,0.300263388937665,0.53843304315614,0.590360622115878
0.52,171,111,30707,684,0.2,0.0036017911610098,0.2,0.606382978723404,0.300791556728232,0.541643376187814,0.59442436757873
0.53,169,106,30713,685,0.197892271662763,0.00343943671111976,0.197892271662763,0.614545454545455,0.299379982285208,0.546821469356681,0.601996191013614
0.54,168,103,30716,686,0.19672131147541,0.00334209416269185,0.19672131147541,0.619926199261993,0.298666666666667,0.550289017341041,0.606997209701653
0.55,165,99,30719,690,0.192982456140351,0.00321240833279252,0.192982456140351,0.625,0.294906166219839,0.55227406969876,0.611447440836544
0.56,163,95,30723,692,0.190643274853801,0.0030826140567201,0.190643274853801,0.631782945736434,0.292902066486972,0.556090708408589,0.617632714312512
0.57,162,91,30727,693,0.189473684210526,0.00295281978064767,0.189473684210526,0.640316205533597,0.292418772563177,0.561696920252906,0.62557828331103
0.58,161,88,30730,694,0.188304093567251,0.00285547407359335,0.188304093567251,0.646586345381526,0.291666666666667,0.565612729902872,0.631372549019608
0.59,161,86,30732,694,0.188304093567251,0.00279057693555714,0.188304093567251,0.651821862348178,0.292196007259528,0.569377990430622,0.636313832909411
0.6,160,86,30732,695,0.187134502923977,0.00279057693555714,0.187134502923977,0.650406504065041,0.290644868301544,0.567731162596535,0.634845806324887
0.61,159,84,30734,696,0.185964912280702,0.00272567979752093,0.185964912280702,0.654320987654321,0.289617486338798,0.56989247311828,0.63840190816935
0.62,158,83,30735,697,0.184795321637427,0.00269323122850282,0.184795321637427,0.655601659751037,0.288321167883212,0.570154956484823,0.639471047886195
0.63,155,78,30740,700,0.181286549707602,0.00253098838341229,0.181286549707602,0.665236051502146,0.284926470588235,0.574950905520402,0.648105982198303
0.64,154,76,30742,701,0.180116959064327,0.00246609124537608,0.180116959064327,0.669565217391304,0.283870967741935,0.57728776185226,0.652022636763781
