"recording_id","total_time","species","min_frequency","max_frequency","min_code_n_ind","detected_by_BirdNET","total_detections","proportion_of_time_detected","mean_BirdNET_confidence"
"116","1.580245","Garrulus glandarius","994.662476","2416.442383","1","FALSE","0","0",NA
"117","38.547893","Sylvia atricapilla","1325.341919","8954.405273","1","TRUE","15","0.825433934871615","0.262338817333333"
"117","2.672968","Prunella modularis","2846.76001","7667.54248","1","TRUE","1","0.843354278839103","0.28189477"
"117","1.630679","Garrulus glandarius","1430.159424","3057.458252","1","FALSE","0","0",NA
"117","5.724185","Erithacus rubecula","1349.630859","11265.123047","1","FALSE","0","0",NA
"117","1.613868","Oriolus oriolus","1076.429565","2975.900146","1","FALSE","0","0",NA
"117","8.89308199999999","Phylloscopus collybita","3441.300293","7183.359863","1","FALSE","0","0",NA
"118","59.965257","Luscinia megarhynchos","1421.907837","4511.690918","2","TRUE","1","0.0500289692746585","0.1823902"
"119","25.712604","Turdus merula","1197.34021","4050.400391","1","FALSE","0","0",NA
"119","23.199343","Troglodytes troglodytes","3364.86377","9565.761719","1","FALSE","0","0",NA
"119","24.619883","Sylvia atricapilla","1738.888794","5147.575684","1","FALSE","0","0",NA
"119","11.574456","Luscinia megarhynchos","1368.938354","5676.438965","1","TRUE","1","0.0566449084086543","0.10431189"
"119","4.001046","Erithacus rubecula","2659.856689","5901.144531","4","FALSE","0","0",NA
"119","11.608077","Cisticola juncidis","5621.467773","9046.076172","1","FALSE","0","0",NA
"119","1.992118","Fringilla coelebs","1936.538452","6436.10791","4","FALSE","0","0",NA
"119","0.521144","Phylloscopus collybita","3027.7229","5353.644043","1","FALSE","0","0",NA
"119","0.790122000000004","Cyanistes caeruleus","4091.70874","6881.98584","1","FALSE","0","0",NA
"120","20.845786","Turdus merula","800.215088","4057.46875","1","FALSE","0","0",NA
"120","0.235355999999999","Cisticola juncidis","5997.092773","8179.884277","1","FALSE","0","0",NA
"120","11.187799","Sylvia atricapilla","1937.518921","5091.211426","1","FALSE","0","0",NA
"120","2.412396","Luscinia megarhynchos","1580.755127","3076.864746","4","FALSE","0","0",NA
"120","1.311267","Troglodytes troglodytes","3630.475586","7522.283691","1","FALSE","0","0",NA
"120","1.815599","Emberiza citrinella","3781.119873","5241.658691","1","FALSE","0","0",NA
"121","5.572886","Luscinia megarhynchos","1029.476807","6365.297852","1","FALSE","0","0",NA
"122","7.791953","Turdus merula","1279.393066","8249.21582","1","FALSE","0","0",NA
"122","5.219852","Phylloscopus collybita","3383.696289","8921.374023","4","FALSE","0","0",NA
"122","0.395061","Corvus corone","1303.429688","2009.097778","1","FALSE","0","0",NA
"122","23.258182","Troglodytes troglodytes","2319.97168","9397.298828","1","FALSE","0","0",NA
"122","37.236626","Sylvia atricapilla","1976.594604","4498.689941","4","TRUE","3","0.215753194180375","0.175681816666667"
"122","7.44732500000001","Oriolus oriolus","920.418091","3238.46875","1","TRUE","1","0.178329668706549","0.107363716"
"122","23.182532","Columba palumbus","256.938965","737.606689","4","TRUE","1","0.129407779961223","0.13255478"
