"confidence_threshold","TP","FP","TN","FN","TPR","FPR","rec_recall","rec_precision","F_score1","F_score2","F_score3","id_precision","id_recall","id_FPR"
0.72,72,3,38699,1000,0.0671641791044776,7.75153738824867e-05,0.0671641791044776,0.96,0.125544899738448,0.538732394366197,0.848343443770415,0.891935483870968,0.0587615545791296,0.000276713427909011
0.73,68,3,38699,1004,0.0634328358208955,7.75153738824867e-05,0.0634328358208955,0.957746478873239,0.118985126859143,0.523550724637681,0.840430739109153,0.892356241234222,0.0568906596790067,0.000274539323450871
0.74,66,3,38699,1006,0.0615671641791045,7.75153738824867e-05,0.0615671641791045,0.956521739130435,0.115687992988606,0.515625,0.836176618163572,0.887301587301587,0.0548766557996174,0.000277432421000659
0.75,59,3,38699,1013,0.0550373134328358,7.75153738824867e-05,0.0550373134328358,0.951612903225806,0.104056437389771,0.485949612403101,0.819444444444445,0.868131868131868,0.0519031394695411,0.000257684561427877
0.76,55,1,38701,1017,0.0513059701492537,2.58384579608289e-05,0.0513059701492537,0.982142857142857,0.0975177304964539,0.47510162601626,0.832583932853717,0.94212962962963,0.0514271922413619,0.000130193336075689
0.77,55,1,38701,1017,0.0513059701492537,2.58384579608289e-05,0.0513059701492537,0.982142857142857,0.0975177304964539,0.47510162601626,0.832583932853717,0.93921568627451,0.0502454996313423,0.000133746971982266
0.78,51,1,38701,1021,0.0475746268656716,2.58384579608289e-05,0.0475746268656716,0.980769230769231,0.0907473309608541,0.455357142857143,0.821269132653061,0.939471440750213,0.0490282431014686,0.000175504545252444
0.79,50,2,38701,1021,0.0466853408029879,5.16755807043382e-05,0.0466853408029879,0.961538461538462,0.0890471950133571,0.446663163426169,0.80529421144953,0.934782608695652,0.0474979663467616,0.000136165577342048
0.8,48,1,38702,1023,0.0448179271708683,2.58377903521691e-05,0.0448179271708683,0.979591836734694,0.0857142857142857,0.43989218328841,0.811924300787138,0.976190476190476,0.0460865912866672,0
0.81,46,1,38702,1025,0.0429505135387488,2.58377903521691e-05,0.0429505135387488,0.978723404255319,0.0822898032200358,0.428963247394405,0.805059781666955,0.952380952380952,0.0448941590654383,0
0.82,42,0,38702,1030,0.0391791044776119,0,0.0391791044776119,1,0.0754039497307002,0.409403669724771,0.804628224582701,1,0.0434388912533484,0
0.83,41,0,38702,1031,0.0382462686567164,0,0.0382462686567164,1,0.0736747529200359,0.403356481481482,0.800657385924207,1,0.0413446482716204,0
0.84,38,0,38702,1034,0.0354477611940298,0,0.0354477611940298,1,0.0684684684684685,0.384523809523809,0.787766830870279,1,0.0391439590983291,0
0.85,36,0,38702,1036,0.0335820895522388,0,0.0335820895522388,1,0.0649819494584838,0.371359223300971,0.778253424657534,1,0.0375947354526343,0
0.86,32,0,38702,1040,0.0298507462686567,0,0.0298507462686567,1,0.0579710144927536,0.343434343434343,0.756554307116105,1,0.0355063252399351,0
0.87,30,0,38702,1042,0.0279850746268657,0,0.0279850746268657,1,0.0544464609800363,0.32860824742268,0.744106090373281,1,0.0336053344854387,0
0.88,26,0,38702,1046,0.0242537313432836,0,0.0242537313432836,1,0.0473588342440801,0.297043010752688,0.715141612200436,1,0.0310647456950908,0
0.89,22,0,38702,1050,0.0205223880597015,0,0.0205223880597015,1,0.0402193784277879,0.262640449438202,0.679095354523227,1,0.0292511216528822,0
0.9,21,0,38702,1051,0.019589552238806,0,0.019589552238806,1,0.0384263494967978,0.253551136363636,0.668663303909206,1,0.027892211300185,0
0.91,20,0,38702,1052,0.0186567164179104,0,0.0186567164179104,1,0.0366300366300366,0.244252873563218,0.657552083333333,1,0.0250786787157062,0
0.92,17,0,38702,1055,0.0158582089552239,0,0.0158582089552239,1,0.0312213039485767,0.215029761904762,0.619408369408369,1,0.0227532672718617,0
0.93,13,0,38702,1059,0.0121268656716418,0,0.0121268656716418,1,0.023963133640553,0.17265625,0.5535413153457,1,0.0197403139953949,0
0.94,12,0,38702,1060,0.0111940298507463,0,0.0111940298507463,1,0.022140221402214,0.161392405063291,0.533450704225352,1,0.0181280636235401,0
0.95,11,0,38702,1061,0.0102611940298507,0,0.0102611940298507,1,0.0203139427516159,0.149839743589744,0.511510128913444,1,0.0162353390449067,0
0.96,8,0,38702,1064,0.00746268656716418,0,0.00746268656716418,1,0.0148148148148148,0.113333333333333,0.431623931623932,1,0.0130669633477005,0
0.97,5,0,38702,1067,0.00466417910447761,0,0.00466417910447761,1,0.00928505106778087,0.0737847222222222,0.321246819338422,1,0.00703881919635344,0
0.98,4,0,38702,1068,0.00373134328358209,0,0.00373134328358209,1,0.00743494423791822,0.0598591549295775,0.27445652173913,1,0.00319861145549219,0
0.99,1,0,38702,1071,0.000932835820895522,0,0.000932835820895522,1,0.00186393289841566,0.015625,0.0861774744027304,1,0.000123977188197372,0
