Scientific_name,English_name
Rheinardia nigrescens,Malayan Crested Argus
Argusianus argus,Great Argus
Afropavo congensis,Congo Peacock
Pavo cristatus,Indian Peafowl
Pavo muticus,Green Peafowl
Tropicoperdix chloropus,Scaly-breasted Partridge
Tropicoperdix charltonii,Chestnut-necklaced Partridge
Haematortyx sanguiniceps,Crimson-headed Partridge
Galloperdix spadicea,Red Spurfowl
Galloperdix lunulata,Painted Spurfowl
Galloperdix bicalcarata,Sri Lanka Spurfowl
Polyplectron napoleonis,Palawan Peacock-Pheasant
Polyplectron schleiermacheri,Bornean Peacock-Pheasant
Polyplectron malacense,Malayan Peacock-Pheasant
Polyplectron germaini,Germain's Peacock-Pheasant
Polyplectron katsumatae,Hainan Peacock-Pheasant
Polyplectron bicalcaratum,Gray Peacock-Pheasant
Polyplectron inopinatum,Mountain Peacock-Pheasant
Polyplectron chalcurum,Bronze-tailed Peacock-Pheasant
Bambusicola fytchii,Mountain Bamboo-Partridge
Bambusicola thoracicus,Chinese Bamboo-Partridge
Bambusicola sonorivox,Taiwan Bamboo-Partridge
Gallus varius,Green Junglefowl
Gallus gallus,Red Junglefowl
Gallus sonneratii,Gray Junglefowl
Gallus lafayettii,Sri Lanka Junglefowl
Peliperdix lathami,Latham's Francolin
Ortygornis sephaena,Crested Francolin
Ortygornis pondicerianus,Gray Francolin
Ortygornis gularis,Swamp Francolin
Francolinus pintadeanus,Chinese Francolin
Francolinus francolinus,Black Francolin
Francolinus pictus,Painted Francolin
Campocolinus coqui,Coqui Francolin
Campocolinus albogularis,White-throated Francolin
Campocolinus schlegelii,Schlegel's Francolin
Scleroptila streptophora,Ring-necked Francolin
Scleroptila levaillantii,Red-winged Francolin
Scleroptila finschi,Finsch's Francolin
Scleroptila psilolaema,Moorland Francolin
Scleroptila afra,Gray-winged Francolin
Scleroptila gutturalis,Orange River Francolin
Scleroptila shelleyi,Shelley's Francolin
Tetraogallus tibetanus,Tibetan Snowcock
Tetraogallus altaicus,Altai Snowcock
Tetraogallus caucasicus,Caucasian Snowcock
Tetraogallus caspius,Caspian Snowcock
Tetraogallus himalayensis,Himalayan Snowcock
Ammoperdix griseogularis,See-see Partridge
Ammoperdix heyi,Sand Partridge
Synoicus ypsilophorus,Brown Quail
Synoicus monorthonyx,Snow Mountain Quail
Synoicus chinensis,Blue-breasted Quail
