English_name,Scientific_name,Catalan_name,Category
Lanner Falcon,Falco biarmicus,Falcó llaner,Rares/Accidentals
Saker Falcon,Falco cherrug,Falcó sagrat,En Perill
Gyrfalcon,Falco rusticolus,Grifó,Rares/Accidentals
Peregrine Falcon,Falco peregrinus,Falcó pelegrí,
Rose-ringed Parakeet,Psittacula krameri,Cotorra de Kramer,Espècies introduïdes
Red-eyed Vireo,Vireo olivaceus,Viri d’ullls vermells,Rares/Accidentals
Eurasian Golden Oriole,Oriolus oriolus,oriol eurasiàtic,
Red-backed Shrike,Lanius collurio,escorxador comú,
Red-tailed Shrike,Lanius phoenicuroides,,Rares/Accidentals
Isabelline Shrike,Lanius isabellinus,Capsigrany pàl·lid,
Brown Shrike,Lanius cristatus,capsigrany bru,Rares/Accidentals
Iberian Gray Shrike,Lanius meridionalis,Botxí meridional,Vulnerable
Great Gray Shrike,Lanius excubitor,Botxí septentrional,
Lesser Gray Shrike,Lanius minor,trenca,
Masked Shrike,Lanius nubicus,capsigrany emmascarat,Rares/Accidentals
Woodchat Shrike,Lanius senator,capsigrany comú,
Eurasian Jay,Garrulus glandarius,gaig eurasiàtic,
Eurasian Magpie,Pica pica,Garsa eurasiàtica,
Eurasian Nutcracker,Nucifraga caryocatactes,trencanous eurasiàtic,
Red-billed Chough,Pyrrhocorax pyrrhocorax,gralla de bec vermell,
Yellow-billed Chough,Pyrrhocorax graculus,gralla de bec groc,
Eurasian Jackdaw,Corvus monedula,gralla occidental,
Daurian Jackdaw,Corvus dauuricus,gralla oriental,Rares/Accidentals
Rook,Corvus frugilegus,graula,
Carrion Crow,Corvus corone,cornella negra,
Hooded Crow,Corvus cornix,cornella emmantellada,
Fan-tailed Raven,Corvus rhipidurus,corb cuacurt,Rares/Accidentals
Common Raven,Corvus corax,corb comú,
Coal Tit,Periparus ater,Mallerenga petita,
Crested Tit,Lophophanes cristatus,mallerenga emplomallada europea,
Marsh Tit,Poecile palustris,Mallerenga d'aigua,
Willow Tit,Poecile montanus,Mallerenga capnegra,
Eurasian Blue Tit,Cyanistes caeruleus,mallerenga blava eurasiàtica,
Azure Tit,Cyanistes cyanus,mallerenga capblanca,
Great Tit,Parus major,Mallerenga carbonera,
Eurasian Penduline-Tit,Remiz pendulinus,teixidor eurasiàtic,
Bar-tailed Lark,Ammomanes cinctura,terrerola cuabarrada,Rares/Accidentals
Horned Lark,Eremophila alpestris,alosa banyuda,
Greater Short-toed Lark,Calandrella brachydactyla,terrerola comuna,
Bimaculated Lark,Melanocorypha bimaculata,calàndria bimaculada,Rares/Accidentals
Calandra Lark,Melanocorypha calandra,calàndria comuna,
Dupont's Lark,Chersophilus duponti,alosa becuda,Rares/Accidentals Vulnerable
Wood Lark,Lullula arborea,cotoliu,
Eurasian Skylark,Alauda arvensis,alosa comuna,
Thekla's Lark,Galerida theklae,cogullada fosca,
Crested Lark,Galerida cristata,Cogullada comuna,
Bearded Reedling,Panurus biarmicus,mallerenga de bigotis,
Zitting Cisticola,Cisticola juncidis,trist,
Booted Warbler,Iduna caligata,busqueta asiàtica,Rares/Accidentals
Sykes's Warbler,Iduna rama,busqueta de Sykes,
Eastern Olivaceous Warbler,Iduna pallida,busqueta pàl·lida,Rares/Accidentals
Western Olivaceous Warbler,Iduna opaca,busqueta de Barbaria,
