"recording_id","initial_time","final_time","species","total_time","min_code_n_ind","correctly_identified"
2,9,12,"Hippolais polyglotta",2.6,4,FALSE
2,9,12,"Turdus merula",0.1,4,FALSE
2,10,13,"Alectoris rufa",0.53,4,FALSE
2,10,13,"Erithacus rubecula",2.91,4,FALSE
2,10,13,"Hippolais polyglotta",2.94,4,FALSE
2,11,14,"Erithacus rubecula",1.91,4,FALSE
2,11,14,"Hippolais polyglotta",1.94,4,FALSE
2,11,14,"Sylvia atricapilla",0.7,4,FALSE
2,11,14,"Turdus merula",0.3,4,FALSE
2,12,15,"Erithacus rubecula",0.91,4,FALSE
2,12,15,"Hippolais polyglotta",0.94,4,FALSE
2,12,15,"Sylvia atricapilla",1.7,4,FALSE
2,12,15,"Turdus merula",1.3,4,FALSE
2,13,16,"Sylvia atricapilla",2.7,4,FALSE
2,13,16,"Turdus merula",2.3,4,FALSE
2,14,17,"Curruca communis",0.18,4,FALSE
2,14,17,"Sylvia atricapilla",2.4,4,FALSE
2,14,17,"Turdus merula",2.51,4,FALSE
2,15,18,"Curruca communis",1.01,4,FALSE
2,15,18,"Sylvia atricapilla",1.4,4,FALSE
2,15,18,"Sylvia atricapilla",0.5,4,FALSE
2,15,18,"Turdus merula",1.51,4,FALSE
2,16,19,"Alectoris rufa",0.81,1,FALSE
2,16,19,"Curruca communis",1.01,4,FALSE
2,16,19,"Sylvia atricapilla",0.4,4,FALSE
2,16,19,"Sylvia atricapilla",1.5,4,FALSE
2,16,19,"Turdus merula",0.51,4,FALSE
2,17,20,"Alectoris rufa",0.81,1,FALSE
2,17,20,"Corvus corone",0.31,1,FALSE
2,17,20,"Curruca communis",0.83,4,FALSE
2,17,20,"Hippolais polyglotta",0.07,4,FALSE
2,17,20,"Sylvia atricapilla",2.5,4,FALSE
2,17,20,"Turdus merula",0.05,4,FALSE
2,18,21,"Alectoris rufa",0.81,1,FALSE
2,18,21,"Corvus corone",1.31,1,FALSE
2,18,21,"Hippolais polyglotta",1.07,4,FALSE
2,18,21,"Sylvia atricapilla",2.78,4,FALSE
2,18,21,"Turdus merula",1.05,4,FALSE
2,19,22,"Corvus corone",2.31,1,FALSE
2,19,22,"Hippolais polyglotta",2.05,4,FALSE
2,19,22,"Sylvia atricapilla",1.78,4,FALSE
2,19,22,"Turdus merula",2.05,4,FALSE
2,20,23,"Corvus corone",2.56,1,FALSE
2,20,23,"Hippolais polyglotta",1.98,4,FALSE
